Year,quarter,ukos,mode,purpose,package,Age,Sex,duration,Expected spend,country,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,35-44,Female,4-13 nights,340.46,Austria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,45-54,Male,4-13 nights,250.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,45-54,Female,4-13 nights,204.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,55-64,Male,4-13 nights,705.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,65 & over,Female,1-3 nights,506.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,65 & over,Female,4-13 nights,392.10,Austria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,65 & over,Female,14-27 nights,250.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,16-24,Male,4-13 nights,441.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,16-24,Female,1-3 nights,323.28,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Male,1-3 nights,150.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Male,4-13 nights,405.71,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Female,1-3 nights,206.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Female,4-13 nights,415.58,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,35-44,Male,1-3 nights,353.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,25-34,Male,4-13 nights,535.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,16-24,Female,1-3 nights,110.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,25-34,Male,Nil Stay,78.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,25-34,Male,1-3 nights,500.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,25-34,Male,4-13 nights,220.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,25-34,Female,4-13 nights,602.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,35-44,Male,Nil Stay,0.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,35-44,Male,1-3 nights,440.50,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,35-44,Male,4-13 nights,400.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,45-54,Male,Nil Stay,20.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,45-54,Male,1-3 nights,449.41,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,45-54,Male,4-13 nights,1234.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Business,Non-Independent,35-44,Male,1-3 nights,0.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Business,Non-Independent,45-54,Male,1-3 nights,491.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,16-24,Male,4-13 nights,46.43,Belgium,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,16-24,Female,4-13 nights,132.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,16-24,Female,28-90 nights,88.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,25-34,Male,1-3 nights,176.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,25-34,Male,4-13 nights,44.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,35-44,Male,1-3 nights,200.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent, 0-15,Male,4-13 nights,325.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent, 0-15,Female,4-13 nights,500.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,16-24,Male,4-13 nights,507.47,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,16-24,Male,14-27 nights,450.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,16-24,Female,4-13 nights,750.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Male,1-3 nights,220.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Male,4-13 nights,1150.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Female,4-13 nights,551.93,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,35-44,Male,1-3 nights,356.66,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,35-44,Male,4-13 nights,400.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,35-44,Male,14-27 nights,2000.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,45-54,Male,4-13 nights,584.01,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,45-54,Male,14-27 nights,1000.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,55-64,Male,4-13 nights,502.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,D/K,Male,1-3 nights,287.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,D/K,Male,14-27 nights,845.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,D/K,Female,1-3 nights,200.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent, 0-15,Female,4-13 nights,305.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,16-24,Male,1-3 nights,425.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,16-24,Male,4-13 nights,473.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,25-34,Male,28-90 nights,2716.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,D/K,Male,4-13 nights,574.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,35-44,Female,4-13 nights,75.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Business,Non-Independent,45-54,Male,4-13 nights,935.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,16-24,Male,4-13 nights,350.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,16-24,Male,14-27 nights,710.53,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,16-24,Male,28-90 nights,500.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,16-24,Female,4-13 nights,0.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,25-34,Male,14-27 nights,446.57,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,25-34,Male,28-90 nights,1000.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,25-34,Female,4-13 nights,489.54,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,25-34,Female,28-90 nights,550.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,35-44,Male,1-3 nights,200.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,35-44,Male,4-13 nights,455.26,Bulgaria,,,,
